SNo,State,SingleLane-Accident-2014,SingleLane-Killed-2014,SingleLane-Injured-2014,TwoLanes-Accident-2014,TwoLanes-Killed-2014,TwoLanes-Injured-2014,3LanesOrMoreW.OMedian-Accident-2014,3LanesOrMoreW.OMedian-Killed-2014,3LanesOrMoreW.OMedian-Injured-2014,4LanesWithMedian-Accident-2014,4LanesWithMedian-Killed-2014,4LanesWithMedian-Injured-2014
1,Andhra Pradesh,8634,2958,13541,10327,2994,10122,1188,396,1199,4291,1560,5069
2,Arunachal Pradesh,90,60,152,115,59,156,0,0,0,0,0,0
3,Assam,3888,1217,3195,2432,1035,2510,56,25,42,768,245,752
4,Bihar,3731,1815,2475,4156,2096,3092,756,390,485,913,612,588
5,Chhattisgarh,7961,2244,7762,4696,1524,4661,0,0,0,1164,254,734
6,Goa,2523,187,1091,1706,103,788,0,0,0,0,0,0
7,Gujarat,10978,3101,10673,7475,2669,7101,642,248,526,4617,1937,4193
8,Haryana,4090,1565,3485,3420,1451,2875,722,340,390,2444,1127,2194
9,Himachal Pradesh,1183,528,2322,1875,671,3254,0,0,0,0,0,0
10,Jammu & Kashmir,3761,548,4129,1935,419,3654,112,21,202,53,4,58
11,Jharkhand,2449,1051,2004,2257,1180,1894,32,20,24,447,377,434
12,Karnataka,26467,5804,35558,13854,3982,18573,1404,383,897,1988,283,1803
13,Kerala,7340,1137,7900,27411,2738,31497,882,82,1008,649,92,691
14,Madhya Pradesh,28501,4423,29281,21828,3600,22501,232,36,210,2911,510,3343
15,Maharashtra,23235,5312,17123,22838,4725,14726,6707,776,2946,8847,1990,5660
16,Manipur,423,89,762,312,76,520,6,1,11,2,2,2
17,Meghalaya,308,81,126,234,60,185,0,0,0,0,0,0
18,Mizoram,57,45,124,75,58,110,0,0,0,0,0,0
19,Nagaland,305,81,230,0,0,0,0,0,0,0,0,0
20,Orissa,5339,2019,6032,3113,1331,3698,124,43,216,1072,538,1141
21,Punjab,2930,2250,2008,2127,1592,1262,511,267,349,823,512,508
22,Rajasthan,11874,5035,13789,8107,3266,8801,254,140,254,4393,1848,4609
23,Sikkim,203,59,352,0,0,0,0,0,0,0,0,0
24,Tamil Nadu,20499,4693,26119,28284,6731,32959,5389,582,2893,13078,3184,15754
25,Telangana,6353,2077,6855,9604,3250,10571,435,173,374,3686,1406,3836
26,Tripura,462,138,762,202,44,314,52,6,149,0,0,0
27,Uttarakhand,742,454,825,668,424,706,0,0,0,0,0,0
28,Uttar Pradesh,14955,7770,10561,8965,4740,6546,2643,1436,2038,4471,2341,3192
29,West Bengal,7654,3478,7399,4323,2011,3958,161,40,138,737,346,523
30,Andaman & Nicobar Islands,99,8,148,115,15,129,1,0,1,3,0,5
31,Chandigarh,131,46,140,75,27,74,59,20,35,104,38,86
32,Dadra & Nagar Haveli,21,15,28,66,44,68,0,0,0,0,0,0
33,Daman & Diu,13,5,11,26,10,38,0,0,0,0,0,0
34,Delhi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,Lakshadweep,1,0,1,0,0,0,0,0,0,0,0,0
36,Puducherry,525,43,393,567,108,930,0,0,0,19,0,0
Total ,Total ,207725,60336,217356,193188,53033,198273,22368,5425,14387,57480,19206,55175